Vértice 36: Pai = 921, Nível = 2
Vértice 802: Pai = 403, Nível = 2
Vértice 486: Pai = 403, Nível = 2
Vértice 834: Pai = 403, Nível = 2
Vértice 309: Pai = 403, Nível = 2
Vértice 651: Pai = 403, Nível = 2
Vértice 202: Pai = 403, Nível = 2
Vértice 396: Pai = 705, Nível = 2
Vértice 635: Pai = 705, Nível = 2
Vértice 905: Pai = 705, Nível = 2
Vértice 460: Pai = 705, Nível = 2
Vértice 64: Pai = 705, Nível = 2
Vértice 83: Pai = 705, Nível = 2
Vértice 686: Pai = 705, Nível = 2
Vértice 243: Pai = 705, Nível = 2
Vértice 401: Pai = 705, Nível = 2
Vértice 233: Pai = 705, Nível = 2
Vértice 19: Pai = 705, Nível = 2
Vértice 3: Pai = 705, Nível = 2
Vértice 544: Pai = 455, Nível = 2
Vértice 523: Pai = 455, Nível = 2
Vértice 432: Pai = 455, Nível = 2
Vértice 356: Pai = 455, Nível = 2
Vértice 162: Pai = 455, Nível = 2
Vértice 669: Pai = 455, Nível = 2
Vértice 965: Pai = 455, Nível = 2
Vértice 9: Pai = 455, Nível = 2
Vértice 5: Pai = 455, Nível = 2
Vértice 66: Pai = 455, Nível = 2
Vértice 177: Pai = 455, Nível = 2
Vértice 918: Pai = 731, Nível = 2
Vértice 796: Pai = 731, Nível = 2
Vértice 761: Pai = 731, Nível = 2
Vértice 521: Pai = 731, Nível = 2
Vértice 948: Pai = 731, Nível = 2
Vértice 663: Pai = 731, Nível = 2
Vértice 694: Pai = 731, Nível = 2
Vértice 394: Pai = 731, Nível = 2
Vértice 374: Pai = 731, Nível = 2
Vértice 98: Pai = 731, Nível = 2
Vértice 657: Pai = 806, Nível = 2
Vértice 636: Pai = 806, Nível = 2
Vértice 373: Pai = 806, Nível = 2
Vértice 302: Pai = 806, Nível = 2
Vértice 323: Pai = 806, Nível = 2
Vértice 654: Pai = 806, Nível = 2
Vértice 653: Pai = 806, Nível = 2
Vértice 87: Pai = 806, Nível = 2
Vértice 938: Pai = 680, Nível = 2
Vértice 785: Pai = 680, Nível = 2
Vértice 193: Pai = 680, Nível = 2
Vértice 696: Pai = 680, Nível = 2
Vértice 679: Pai = 680, Nível = 2
Vértice 452: Pai = 680, Nível = 2
Vértice 358: Pai = 680, Nível = 2
Vértice 213: Pai = 680, Nível = 2
Vértice 208: Pai = 680, Nível = 2
Vértice 206: Pai = 680, Nível = 2
Vértice 51: Pai = 680, Nível = 2
Vértice 485: Pai = 248, Nível = 2
Vértice 287: Pai = 248, Nível = 2
Vértice 79: Pai = 248, Nível = 2
Vértice 228: Pai = 248, Nível = 2
Vértice 959: Pai = 248, Nível = 2
Vértice 500: Pai = 248, Nível = 2
Vértice 25: Pai = 248, Nível = 2
Vértice 954: Pai = 943, Nível = 2
Vértice 338: Pai = 943, Nível = 2
Vértice 13: Pai = 943, Nível = 2
Vértice 329: Pai = 925, Nível = 2
Vértice 617: Pai = 925, Nível = 2
Vértice 772: Pai = 925, Nível = 2
Vértice 622: Pai = 925, Nível = 2
Vértice 426: Pai = 925, Nível = 2
Vértice 400: Pai = 925, Nível = 2
Vértice 889: Pai = 766, Nível = 2
Vértice 260: Pai = 766, Nível = 2
Vértice 607: Pai = 766, Nível = 2
Vértice 714: Pai = 766, Nível = 2
Vértice 351: Pai = 766, Nível = 2
Vértice 764: Pai = 766, Nível = 2
Vértice 736: Pai = 766, Nível = 2
Vértice 563: Pai = 766, Nível = 2
Vértice 94: Pai = 766, Nível = 2
Vértice 580: Pai = 671, Nível = 2
Vértice 270: Pai = 671, Nível = 2
Vértice 620: Pai = 671, Nível = 2
Vértice 122: Pai = 671, Nível = 2
Vértice 923: Pai = 652, Nível = 2
Vértice 891: Pai = 652, Nível = 2
Vértice 729: Pai = 652, Nível = 2
Vértice 575: Pai = 652, Nível = 2
Vértice 773: Pai = 652, Nível = 2
Vértice 28: Pai = 652, Nível = 2
Vértice 917: Pai = 652, Nível = 2
Vértice 467: Pai = 652, Nível = 2
Vértice 125: Pai = 652, Nível = 2
Vértice 963: Pai = 384, Nível = 2
Vértice 835: Pai = 384, Nível = 2
Vértice 818: Pai = 384, Nível = 2
Vértice 547: Pai = 384, Nível = 2
Vértice 532: Pai = 384, Nível = 2
Vértice 517: Pai = 384, Nível = 2
Vértice 502: Pai = 384, Nível = 2
Vértice 417: Pai = 384, Nível = 2
Vértice 393: Pai = 384, Nível = 2
Vértice 134: Pai = 384, Nível = 2
Vértice 461: Pai = 384, Nível = 2
Vértice 306: Pai = 384, Nível = 2
Vértice 383: Pai = 384, Nível = 2
Vértice 210: Pai = 384, Nível = 2
Vértice 144: Pai = 384, Nível = 2
Vértice 770: Pai = 650, Nível = 2
Vértice 720: Pai = 650, Nível = 2
Vértice 841: Pai = 650, Nível = 2
Vértice 765: Pai = 650, Nível = 2
Vértice 572: Pai = 650, Nível = 2
Vértice 504: Pai = 650, Nível = 2
Vértice 445: Pai = 650, Nível = 2
Vértice 444: Pai = 650, Nível = 2
Vértice 415: Pai = 650, Nível = 2
Vértice 283: Pai = 650, Nível = 2
Vértice 181: Pai = 650, Nível = 2
Vértice 145: Pai = 650, Nível = 2
Vértice 1000: Pai = 223, Nível = 2
Vértice 831: Pai = 223, Nível = 2
Vértice 121: Pai = 223, Nível = 2
Vértice 353: Pai = 223, Nível = 2
Vértice 234: Pai = 223, Nível = 2
Vértice 359: Pai = 47, Nível = 2
Vértice 887: Pai = 47, Nível = 2
Vértice 292: Pai = 47, Nível = 2
Vértice 709: Pai = 47, Nível = 2
Vértice 991: Pai = 47, Nível = 2
Vértice 880: Pai = 160, Nível = 2
Vértice 641: Pai = 160, Nível = 2
Vértice 429: Pai = 160, Nível = 2
Vértice 333: Pai = 160, Nível = 2
Vértice 72: Pai = 160, Nível = 2
Vértice 955: Pai = 160, Nível = 2
Vértice 996: Pai = 160, Nível = 2
Vértice 232: Pai = 160, Nível = 2
Vértice 792: Pai = 160, Nível = 2
Vértice 49: Pai = 160, Nível = 2
Vértice 878: Pai = 670, Nível = 2
Vértice 15: Pai = 670, Nível = 2
Vértice 336: Pai = 670, Nível = 2
Vértice 422: Pai = 670, Nível = 2
Vértice 661: Pai = 670, Nível = 2
Vértice 643: Pai = 670, Nível = 2
Vértice 190: Pai = 670, Nível = 2
Vértice 987: Pai = 916, Nível = 2
Vértice 313: Pai = 916, Nível = 2
Vértice 468: Pai = 916, Nível = 2
Vértice 23: Pai = 916, Nível = 2
Vértice 838: Pai = 916, Nível = 2
Vértice 576: Pai = 916, Nível = 2
Vértice 269: Pai = 916, Nível = 2
Vértice 235: Pai = 916, Nível = 2
Vértice 191: Pai = 916, Nível = 2
Vértice 252: Pai = 778, Nível = 2
Vértice 812: Pai = 778, Nível = 2
Vértice 632: Pai = 778, Nível = 2
Vértice 966: Pai = 778, Nível = 2
Vértice 387: Pai = 778, Nível = 2
Vértice 218: Pai = 778, Nível = 2
Vértice 716: Pai = 778, Nível = 2
Vértice 629: Pai = 778, Nível = 2
Vértice 585: Pai = 778, Nível = 2
Vértice 171: Pai = 778, Nível = 2
Vértice 69: Pai = 778, Nível = 2
Vértice 644: Pai = 389, Nível = 2
Vértice 250: Pai = 389, Nível = 2
Vértice 80: Pai = 389, Nível = 2
Vértice 472: Pai = 50, Nível = 2
Vértice 266: Pai = 50, Nível = 2
Vértice 646: Pai = 50, Nível = 2
Vértice 349: Pai = 50, Nível = 2
Vértice 928: Pai = 50, Nível = 2
Vértice 236: Pai = 769, Nível = 2
Vértice 625: Pai = 769, Nível = 2
Vértice 655: Pai = 769, Nível = 2
Vértice 188: Pai = 769, Nível = 2
Vértice 934: Pai = 370, Nível = 2
Vértice 701: Pai = 370, Nível = 2
Vértice 436: Pai = 370, Nível = 2
Vértice 666: Pai = 370, Nível = 2
Vértice 699: Pai = 370, Nível = 2
Vértice 294: Pai = 370, Nível = 2
Vértice 219: Pai = 370, Nível = 2
Vértice 116: Pai = 370, Nível = 2
Vértice 277: Pai = 866, Nível = 2
Vértice 615: Pai = 866, Nível = 2
Vértice 603: Pai = 866, Nível = 2
Vértice 894: Pai = 936, Nível = 2
Vértice 413: Pai = 936, Nível = 2
Vértice 872: Pai = 613, Nível = 2
Vértice 846: Pai = 613, Nível = 2
Vértice 718: Pai = 613, Nível = 2
Vértice 990: Pai = 613, Nível = 2
Vértice 922: Pai = 613, Nível = 2
Vértice 985: Pai = 613, Nível = 2
Vértice 196: Pai = 613, Nível = 2
Vértice 967: Pai = 851, Nível = 2
Vértice 882: Pai = 851, Nível = 2
Vértice 744: Pai = 851, Nível = 2
Vértice 44: Pai = 851, Nível = 2
Vértice 488: Pai = 478, Nível = 3
Vértice 749: Pai = 478, Nível = 3
Vértice 681: Pai = 478, Nível = 3
Vértice 451: Pai = 478, Nível = 3
Vértice 290: Pai = 108, Nível = 3
Vértice 14: Pai = 108, Nível = 3
Vértice 6: Pai = 108, Nível = 3
Vértice 798: Pai = 99, Nível = 3
Vértice 536: Pai = 99, Nível = 3
Vértice 272: Pai = 99, Nível = 3
Vértice 217: Pai = 99, Nível = 3
Vértice 695: Pai = 99, Nível = 3
Vértice 712: Pai = 99, Nível = 3
Vértice 459: Pai = 99, Nível = 3
Vértice 600: Pai = 305, Nível = 3
Vértice 273: Pai = 305, Nível = 3
Vértice 433: Pai = 305, Nível = 3
Vértice 919: Pai = 305, Nível = 3
Vértice 330: Pai = 305, Nível = 3
Vértice 710: Pai = 305, Nível = 3
Vértice 176: Pai = 305, Nível = 3
Vértice 545: Pai = 371, Nível = 3
Vértice 890: Pai = 371, Nível = 3
Vértice 300: Pai = 371, Nível = 3
Vértice 998: Pai = 371, Nível = 3
Vértice 910: Pai = 425, Nível = 3
Vértice 933: Pai = 425, Nível = 3
Vértice 385: Pai = 425, Nível = 3
Vértice 633: Pai = 425, Nível = 3
Vértice 757: Pai = 425, Nível = 3
Vértice 352: Pai = 425, Nível = 3
Vértice 361: Pai = 425, Nível = 3
Vértice 275: Pai = 425, Nível = 3
Vértice 869: Pai = 683, Nível = 3
Vértice 647: Pai = 683, Nível = 3
Vértice 589: Pai = 683, Nível = 3
Vértice 71: Pai = 683, Nível = 3
Vértice 899: Pai = 596, Nível = 3
Vértice 508: Pai = 596, Nível = 3
Vértice 335: Pai = 596, Nível = 3
Vértice 781: Pai = 596, Nível = 3
Vértice 264: Pai = 596, Nível = 3
Vértice 465: Pai = 596, Nível = 3
Vértice 867: Pai = 395, Nível = 3
Vértice 845: Pai = 395, Nível = 3
Vértice 700: Pai = 395, Nível = 3
Vértice 52: Pai = 395, Nível = 3
Vértice 201: Pai = 363, Nível = 3
Vértice 595: Pai = 322, Nível = 3
Vértice 325: Pai = 322, Nível = 3
Vértice 230: Pai = 322, Nível = 3
Vértice 932: Pai = 322, Nível = 3
Vértice 187: Pai = 322, Nível = 3
Vértice 152: Pai = 322, Nível = 3
Vértice 994: Pai = 322, Nível = 3
Vértice 398: Pai = 322, Nível = 3
Vértice 229: Pai = 322, Nível = 3
Vértice 762: Pai = 263, Nível = 3
Vértice 754: Pai = 263, Nível = 3
Vértice 525: Pai = 263, Nível = 3
Vértice 530: Pai = 263, Nível = 3
Vértice 976: Pai = 648, Nível = 3
Vértice 874: Pai = 367, Nível = 3
Vértice 262: Pai = 367, Nível = 3
Vértice 912: Pai = 727, Nível = 3
